; File: spkrinfo.txt - updated 01/24/90
;
; TI Connected Digits speaker information
;
; ID - Unique 2-character speaker identifier
; Gender - (M-man, W-woman, B-boy, G-girl)
; Age - Speaker age at time of recording
; Dialect - Dialect region identifier (see file "dialects.txt" for decode)
; Usage - (TST-test material, TRN-training material)
;
;ID     Gender	   Age	   Dialect    Usage
GD        G        09        17        TRN
GE        G        09        17        TRN
GF        B        06        17        TST
GG        M        25        12        TRN
GH        G        08        18        TRN
GI        B        10        17        TRN
GJ        M        30        17        TRN
GK        W        30        04        TST
GL        W        29        18        TST
GM        W        21        18        TST
GN        W        27        05        TST
GP        M        24        15        TST
GR        M        23        20        TRN
GS        M        23        19        TST
GT        M        37        08        TRN
GW        M        27        04        TST
HA        M        26        07        TRN
HB        B        08        11        TRN
HC        M        29        05        TST
HD        B        11        17        TRN
HE        G        08        17        TRN
HF        W        35        04        TST
HG        W        22        15        TRN
HH        M        25        18        TRN
HI        B        11        17        TRN
HJ        M        25        07        TST
HK        B        09        17        TST
HL        M        53        17        TRN
HM        M        54        22        TST
HN        M        24        06        TRN
HP        W        24        20        TRN
HR        M        35        20        TST
HS        M        30        12        TRN
HT        B        11        17        TRN
HW        G        08        17        TST
IA        M        30        03        TST
IB        M        33        06        TST
IC        B        11        17        TST
ID        W        21        11        TST
IE        M        31        06        TRN
IF        M        21        13        TRN
IG        W        40        08        TRN
IH        W        48        03        TRN
II        W        49        10        TST
IJ        G        11        17        TST
IK        B        11        17        TRN
IL        W        41        07        TRN
IM        M        32        19        TST
IN        M        23        19        TRN
IP        M        24        12        TST
IR        G        11        17        TST
IS        G        12        10        TRN
IT        M        29        08        TRN
IW        W        24        20        TST
JA        M        25        09        TST
JB        G        11        17        TRN
JC        W        29        15        TRN
JD        W        22        12        TST
JE        W        31        08        TST
JF        G        11        17        TRN
JG        B        11        12        TST
JH        M        31        02        TST
JI        W        19        11        TRN
JJ        W        25        07        TRN
JK        G        10        17        TRN
JL        G        10        17        TRN
JM        G        11        22        TRN
JN        W        28        18        TRN
JP        W        33        06        TRN
JR        M        29        18        TRN
JS        G        12        17        TST
JT        M        30        04        TRN
JW        W        21        17        TST
KA        M        52        01        TST
KB        W        24        09        TST
KC        W        43        06        TRN
KD        M        34        01        TRN
KE        M        23        22        TST
KF        W        35        16        TRN
KG        M        37        03        TST
KH        W        24        06        TRN
KI        G        12        17        TST
KJ        W        29        02        TST
KK        W        25        09        TRN
KL        G        12        17        TRN
KM        G        08        17        TRN
KN        W        22        22        TRN
KP        M        35        03        TRN
KR        M        41        19        TRN
KS        G        12        17        TRN
KT        W        21        05        TRN
KW        B        08        02        TRN
LA        W        34        19        TRN
LB        B        09        17        TRN
LC        B        11        17        TST
LD        W        50        01        TRN
LE        M        27        11        TST
LF        B        10        18        TST
LG        M        24        14        TST
LH        M        24        21        TRN
LI        G        09        17        TRN
LJ        W        35        11        TST
LK        G        12        09        TST
LL        W        25        07        TST
LM        G        11        11        TST
LN        B        13        10        TST
LP        W        27        14        TST
LR        W        25        19        TST
LS        W        22        10        TRN
LT        M        24        04        TRN
LW        B        10        17        TRN
MA        G        12        18        TST
MB        M        24        11        TRN
MC        W        23        07        TST
MD        B        12        17        TRN
ME        B        12        22        TST
MF        G        09        17        TST
MG        G        12        15        TST
MH        M        21        06        TRN
MI        M        30        08        TST
MJ        W        23        10        TST
MK        W        24        08        TRN
ML        W        20        10        TST
MM        W        44        15        TRN
MN        B        11        17        TST
MP        M        41        10        TRN
MR        M        23        15        TRN
MS        W        24        20        TRN
MT        G        10        17        TST
MW        W        25        16        TRN
NA        W        23        09        TST
NB        G        08        17        TST
NC        W        37        11        TRN
ND        G        11        02        TRN
NE        M        31        14        TRN
NF        M        24        21        TRN
NG        W        31        04        TRN
NH        W        23        21        TRN
NI        M        59        07        TRN
NJ        G        09        17        TRN
NK        W        26        03        TST
NL        M        29        01        TST
NM        B        11        17        TST
NN        G        07        17        TRN
NP        M        33        17        TST
NR        M        32        02        TRN
NS        G        09        17        TST
NT        M        39        17        TST
NW        M        29        05        TRN
PA        G        10        17        TST
PB        M        39        17        TRN
PC        M        24        05        TST
PD        M        40        13        TRN
PE        W        30        03        TRN
PF        W        30        19        TST
PG        M        24        09        TST
PH        M        23        20        TST
PI        M        30        03        TRN
PJ        W        23        20        TST
PK        W        21        20        TRN
PL        W        28        08        TST
PM        W        26        12        TRN
PN        W        22        14        TST
PP        W        31        05        TRN
PR        M        26        16        TST
PS        G        15        17        TST
PT        W        44        16        TST
PW        B        07        17        TRN
RA        W        24        14        TRN
RB        G        09        17        TST
RC        B        14        17        TRN
RD        M        27        19        TRN
RE        W        25        02        TRN
RF        M        25        09        TRN
RG        W        34        17        TST
RH        B        12        17        TST
RI        B        07        17        TST
RJ        B        09        02        TST
RK        M        28        08        TST
RL        W        22        21        TST
RM        W        21        16        TST
RN        W        21        13        TRN
RP        W        24        10        TRN
RR        W        34        17        TRN
RS        W        29        02        TRN
RT        G        12        17        TST
RW        G        11        02        TST
SA        M        22        13        TST
SB        B        12        08        TST
SC        G        07        17        TST
SD        B        11        10        TRN
SE        B        09        10        TST
SF        G        12        17        TRN
SG        B        10        13        TRN
SH        B        10        17        TST
SI        W        29        21        TST
SJ        M        31        02        TRN
SK        B        10        17        TST
SL        M        34        14        TST
SM        W        27        15        TST
SN        W        31        05        TST
SP        W        19        04        TRN
SR        M        38        08        TST
SS        B        10        17        TRN
ST        M        30        11        TRN
SW        M        29        15        TST
TA        G        08        17        TST
TB        W        47        02        TST
TC        M        40        13        TST
